paso,tiempo_s,ps7_crudo,ps0_crudo,ps2_lateral,ps5_lateral,frontal_crudo,frontal_metros_crudo,frontal_filtrado,distancia_kalman,avance_robot_m,ganancia_kalman,vel_izq,vel_der,estado_bloqueado
1,0.032,68.3184,63.662,69.729,63.7647,68.3184,3.6593,3.6593,3.5117,0.0,0.9533,4.0,4.0,0
2,0.064,69.9839,61.334,66.7685,71.4856,69.9839,3.5723,3.6158,3.5454,0.002575,0.5751,4.0,4.0,0
3,0.096,70.2728,67.7921,68.7147,71.7291,70.2728,3.5576,3.5964,3.55,0.002704,0.4937,4.0,4.0,0
4,0.128,67.0684,65.1232,70.2363,69.9683,67.0684,3.7275,3.6292,3.6325,0.002575,0.4719,4.0,4.0,0
5,0.16,66.8172,69.651,66.5972,62.7215,69.651,3.5893,3.6212,3.611,0.002575,0.4658,4.0,4.0,0
6,0.192,65.0479,67.9152,69.7463,65.8023,67.9152,3.6811,3.6255,3.6421,0.002704,0.464,4.0,4.0,0
7,0.224,67.429,62.8229,67.0418,64.9716,67.429,3.7076,3.6526,3.6711,0.002575,0.4635,4.0,4.0,0
8,0.256,70.805,64.4786,63.3868,68.0802,70.805,3.5308,3.6473,3.6047,0.002575,0.4634,4.0,4.0,0
9,0.288,66.4806,72.7602,68.8529,63.7312,72.7602,3.4359,3.589,3.5251,0.002704,0.4633,4.0,4.0,0
10,0.32,64.9405,66.5327,64.2065,74.8278,66.5327,3.7576,3.6226,3.6314,0.002575,0.4633,4.0,4.0,0
11,0.352,68.6301,66.8377,60.778,57.3991,68.6301,3.6427,3.6149,3.6352,0.002704,0.4633,4.0,4.0,0
12,0.384,59.8868,58.8951,69.27,71.0982,59.8868,4.1745,3.7083,3.8837,0.002575,0.4633,4.0,4.0,0
13,0.416,65.8905,67.0558,72.7584,71.8943,67.0558,3.7282,3.7478,3.8103,0.002575,0.4633,4.0,4.0,0
14,0.448,64.9923,61.5533,67.6414,67.553,64.9923,3.8466,3.8299,3.8257,0.002704,0.4633,4.0,4.0,0
15,0.48,66.326,71.1621,66.8273,67.1267,71.1621,3.5131,3.781,3.6795,0.002575,0.4633,4.0,4.0,0
16,0.512,72.535,65.5737,54.6679,64.8508,72.535,3.4466,3.7418,3.5702,0.002575,0.4633,4.0,4.0,0
17,0.544,69.8331,70.1426,69.0671,61.3535,70.1426,3.5642,3.6197,3.566,0.002704,0.4633,4.0,4.0,0
18,0.576,68.7882,65.3338,64.6416,71.6015,68.7882,3.6343,3.601,3.5963,0.002575,0.4633,4.0,4.0,0
19,0.608,68.4569,63.2844,63.4227,74.1203,68.4569,3.6519,3.562,3.6207,0.002575,0.4633,4.0,4.0,0
20,0.64,63.7462,66.6146,70.7822,68.1464,66.6146,3.7529,3.61,3.6805,0.002704,0.4633,4.0,4.0,0
21,0.672,65.8763,68.0979,69.4194,69.6796,68.0979,3.6712,3.6549,3.6748,0.002575,0.4633,4.0,4.0,0
22,0.704,66.5642,73.4872,65.6222,66.4517,73.4872,3.402,3.6225,3.547,0.002575,0.4633,4.0,4.0,0
23,0.736,64.8163,68.155,66.6097,60.3388,68.155,3.6681,3.6292,3.6017,0.002704,0.4633,4.0,4.0,0
24,0.768,73.4542,67.7348,66.9959,67.113,73.4542,3.4035,3.5795,3.5085,0.002575,0.4633,4.0,4.0,0
25,0.8,61.4596,66.6188,68.6792,62.1823,66.6188,3.7527,3.5795,3.6202,0.002704,0.4633,4.0,4.0,0
26,0.832,68.4892,67.8789,72.3581,67.5776,68.4892,3.6502,3.5753,3.6327,0.002575,0.4633,4.0,4.0,0
27,0.864,71.2368,69.8089,65.166,66.0236,71.2368,3.5094,3.5968,3.5742,0.002575,0.4633,4.0,4.0,0
28,0.896,69.7633,65.3709,70.9667,70.7336,69.7633,3.5835,3.5799,3.5771,0.002704,0.4633,4.0,4.0,0
29,0.928,62.0695,67.5104,67.673,69.2953,67.5104,3.7031,3.6398,3.6341,0.002575,0.4633,4.0,4.0,0
30,0.96,65.3616,66.3071,68.2844,71.3197,66.3071,3.7703,3.6433,3.6958,0.002575,0.4633,4.0,4.0,0
31,0.992,63.0634,72.0557,73.6567,67.1245,72.0557,3.4695,3.6072,3.5895,0.002704,0.4633,4.0,4.0,0
32,1.024,63.5839,63.2348,62.7279,67.6286,63.5839,3.9318,3.6917,3.7467,0.002575,0.4633,4.0,4.0,0
33,1.056,67.3759,61.2097,66.108,69.334,67.3759,3.7105,3.7171,3.7286,0.002575,0.4633,4.0,4.0,0
34,1.088,67.3472,65.9873,69.8116,70.8377,67.3472,3.7121,3.7189,3.7195,0.002704,0.4633,4.0,4.0,0
35,1.12,62.7771,62.0998,67.029,63.9786,62.7771,3.9823,3.7613,3.8399,0.002575,0.4633,4.0,4.0,0
36,1.152,67.0061,67.2134,69.3081,67.904,67.2134,3.7195,3.8113,3.7827,0.002575,0.4633,4.0,4.0,0
37,1.184,68.9327,67.6856,68.8457,67.9355,68.9327,3.6267,3.7502,3.709,0.002704,0.4633,4.0,4.0,0
38,1.216,64.6562,60.3042,66.0301,66.1087,64.6562,3.8666,3.7815,3.7806,0.002575,0.4633,4.0,4.0,0
39,1.248,69.2443,63.6753,66.6526,65.7706,69.2443,3.6104,3.7611,3.7004,0.002575,0.4633,4.0,4.0,0
40,1.28,70.4176,65.7563,69.9595,66.8598,70.4176,3.5502,3.6747,3.6294,0.002704,0.4633,4.0,4.0,0
41,1.312,62.2242,67.9864,72.4925,62.8793,67.9864,3.6772,3.6662,3.6502,0.002575,0.4633,4.0,4.0,0
42,1.344,65.1572,69.927,57.9934,64.4034,69.927,3.5752,3.6559,3.614,0.002704,0.4633,4.0,4.0,0
43,1.376,67.1667,67.5217,63.6217,68.0021,67.5217,3.7025,3.6231,3.6536,0.002575,0.4633,4.0,4.0,0
44,1.408,68.8062,66.7193,66.4807,65.8995,68.8062,3.6334,3.6277,3.6429,0.002575,0.4633,4.0,4.0,0
45,1.44,67.7615,63.5949,70.7643,62.4848,67.7615,3.6894,3.6555,3.663,0.002704,0.4633,4.0,4.0,0
46,1.472,71.3717,65.9061,70.073,66.857,71.3717,3.5028,3.6207,3.5874,0.002575,0.4633,4.0,4.0,0
47,1.504,68.8352,70.3029,68.1097,72.2453,70.3029,3.556,3.6168,3.5715,0.002575,0.4633,4.0,4.0,0
48,1.536,59.7799,67.5919,63.7883,63.1896,67.5919,3.6987,3.6161,3.629,0.002704,0.4633,4.0,4.0,0
49,1.568,73.18,61.1399,71.6269,66.4682,73.18,3.4162,3.5726,3.529,0.002575,0.4633,4.0,4.0,0
50,1.6,67.0069,66.3288,64.542,71.6406,67.0069,3.731,3.5809,3.6212,0.002575,0.4633,4.0,4.0,0
51,1.632,64.9306,61.6046,66.8304,70.1154,64.9306,3.8503,3.6504,3.7259,0.002704,0.4633,4.0,4.0,0
52,1.664,71.0005,64.9347,69.8489,67.2798,71.0005,3.5211,3.6434,3.6296,0.002575,0.4633,4.0,4.0,0
53,1.696,66.133,71.0023,66.9753,69.0492,71.0023,3.521,3.6079,3.5779,0.002575,0.4633,4.0,4.0,0
54,1.728,64.1944,65.1815,68.786,64.5181,65.1815,3.8354,3.6918,3.6958,0.002704,0.4633,4.0,4.0,0
55,1.76,67.3794,66.0489,69.52,64.0847,67.3794,3.7103,3.6876,3.7011,0.002575,0.4633,4.0,4.0,0
56,1.792,61.0293,66.5871,64.0017,68.4348,66.5871,3.7545,3.6685,3.7245,0.002575,0.4633,4.0,4.0,0
57,1.824,64.8259,68.1945,62.7385,64.7058,68.1945,3.666,3.6975,3.6959,0.002704,0.4633,4.0,4.0,0
58,1.856,77.6609,66.5963,69.33,72.3652,77.6609,3.2191,3.6371,3.4736,0.002575,0.4633,4.0,4.0,0
59,1.888,73.282,67.39,69.1459,68.0314,73.282,3.4115,3.5523,3.4434,0.002704,0.4633,4.0,4.0,0
60,1.92,71.8295,66.2968,75.0596,72.1423,71.8295,3.4805,3.5063,3.4592,0.002575,0.4633,4.0,4.0,0
61,1.952,69.4744,70.0589,68.4594,68.1062,70.0589,3.5684,3.4691,3.5084,0.002575,0.4633,4.0,4.0,0
62,1.984,67.6869,64.8165,65.8494,67.6339,67.6869,3.6935,3.4746,3.5927,0.002704,0.4633,4.0,4.0,0
63,2.016,69.8036,68.2657,63.9771,64.9799,69.8036,3.5815,3.5471,3.5861,0.002575,0.4633,4.0,4.0,0
64,2.048,71.6198,68.5329,60.4438,65.4096,71.6198,3.4907,3.5629,3.5405,0.002575,0.4633,4.0,4.0,0
65,2.08,67.6714,61.083,64.8157,68.8345,67.6714,3.6943,3.6057,3.6103,0.002704,0.4633,4.0,4.0,0
66,2.112,62.7043,70.514,70.5331,71.2332,70.514,3.5454,3.6011,3.5789,0.002575,0.4633,4.0,4.0,0
67,2.144,65.6343,67.8428,64.9621,66.5352,67.8428,3.685,3.5994,3.6267,0.002575,0.4633,4.0,4.0,0
68,2.176,70.8964,66.2591,65.1466,67.4878,70.8964,3.5263,3.5883,3.5787,0.002704,0.4633,4.0,4.0,0
69,2.208,69.1818,66.7052,69.5786,68.4571,69.1818,3.6137,3.6129,3.5935,0.002575,0.4633,4.0,4.0,0
70,2.24,68.1065,72.0723,63.8865,70.2124,72.0723,3.4687,3.5678,3.5343,0.002575,0.4633,4.0,4.0,0
71,2.272,70.7514,63.9303,67.5461,65.5889,70.7514,3.5335,3.5654,3.5325,0.002704,0.4633,4.0,4.0,0
72,2.304,72.7952,65.1153,57.5568,71.6689,72.7952,3.4343,3.5153,3.4856,0.002575,0.4633,4.0,4.0,0
73,2.336,70.4437,68.8836,67.9682,59.9176,70.4437,3.5489,3.5198,3.5135,0.002704,0.4633,4.0,4.0,0
74,2.368,62.977,67.7425,61.9359,71.8671,67.7425,3.6904,3.5352,3.5941,0.002575,0.4633,4.0,4.0,0
75,2.4,66.5774,64.8649,64.3789,73.3379,66.5774,3.755,3.5924,3.6673,0.002575,0.4633,4.0,4.0,0
76,2.432,68.4177,71.6288,62.8384,69.731,71.6288,3.4902,3.5838,3.5838,0.002704,0.4633,4.0,4.0,0
77,2.464,65.2518,69.4342,64.2199,62.0586,69.4342,3.6005,3.617,3.5902,0.002575,0.4633,4.0,4.0,0
78,2.496,67.714,67.809,75.5888,68.6823,67.809,3.6868,3.6446,3.6336,0.002575,0.4633,4.0,4.0,0
79,2.528,62.6811,67.1314,69.0895,64.6981,67.1314,3.724,3.6513,3.674,0.002704,0.4633,4.0,4.0,0
80,2.56,67.7681,69.4682,62.9948,75.4825,69.4682,3.5988,3.6201,3.6378,0.002575,0.4633,4.0,4.0,0
81,2.592,69.195,60.6216,66.9468,59.5694,69.195,3.613,3.6446,3.6249,0.002575,0.4633,4.0,4.0,0
82,2.624,61.1179,62.0271,76.0394,69.9486,62.0271,4.0305,3.7306,3.8114,0.002704,0.4633,4.0,4.0,0
83,2.656,72.694,64.7721,65.54,69.6606,72.694,3.4391,3.6811,3.6375,0.002575,0.4633,4.0,4.0,0
84,2.688,66.5117,66.1711,64.4829,69.9916,66.5117,3.7587,3.688,3.6923,0.002575,0.4633,4.0,4.0,0
85,2.72,67.3481,70.2912,68.809,69.9332,70.2912,3.5566,3.6796,3.628,0.002704,0.4633,4.0,4.0,0
86,2.752,68.5798,67.2868,69.7358,67.0576,68.5798,3.6454,3.6861,3.6347,0.002575,0.4633,4.0,4.0,0
87,2.784,67.9442,65.1505,66.6532,66.7894,67.9442,3.6795,3.6159,3.6541,0.002575,0.4633,4.0,4.0,0
88,2.816,70.8207,62.0919,69.9405,70.2702,70.8207,3.53,3.6341,3.5951,0.002704,0.4633,4.0,4.0,0
89,2.848,63.2629,68.3452,68.6629,58.7539,68.3452,3.6579,3.6139,3.6228,0.002575,0.4633,4.0,4.0,0
90,2.88,67.052,65.3271,56.0895,70.2164,67.052,3.7284,3.6483,3.6703,0.002704,0.4633,4.0,4.0,0
91,2.912,67.2473,68.6335,66.8016,67.7992,68.6335,3.6425,3.6477,3.6561,0.002575,0.4633,4.0,4.0,0
92,2.944,66.7344,67.1756,66.7078,71.6572,67.1756,3.7216,3.6561,3.685,0.002575,0.4633,4.0,4.0,0
93,2.976,62.2333,65.1366,68.0896,67.1892,65.1366,3.8381,3.7177,3.7545,0.002704,0.4633,4.0,4.0,0
94,3.008,64.694,69.1894,66.5906,63.7031,69.1894,3.6133,3.7088,3.6877,0.002575,0.4633,4.0,4.0,0
95,3.04,69.8158,62.4899,67.8204,69.4117,69.8158,3.5808,3.6793,3.6368,0.002575,0.4633,4.0,4.0,0
96,3.072,66.9468,67.1839,63.9,70.8167,67.1839,3.7211,3.695,3.6744,0.002704,0.4633,4.0,4.0,0
97,3.104,70.9599,65.9945,60.0238,64.6891,70.9599,3.5231,3.6553,3.6029,0.002575,0.4633,4.0,4.0,0
98,3.136,70.2235,69.3481,68.8101,72.8475,70.2235,3.5601,3.5997,3.5817,0.002575,0.4633,4.0,4.0,0
99,3.168,65.3431,67.6097,68.886,76.0288,67.6097,3.6977,3.6166,3.634,0.002704,0.4633,4.0,4.0,0
100,3.2,66.0059,64.8347,64.0327,67.938,66.0059,3.7875,3.6579,3.7037,0.002575,0.4633,4.0,4.0,0
101,3.232,68.3102,71.3744,70.4615,64.8422,71.3744,3.5027,3.6142,3.6092,0.002575,0.4633,4.0,4.0,0
102,3.264,65.0786,72.375,69.0404,73.1957,72.375,3.4542,3.6004,3.5359,0.002704,0.4633,4.0,4.0,0
103,3.296,70.5709,61.1537,70.0291,67.0784,70.5709,3.5425,3.5969,3.5376,0.002575,0.4633,4.0,4.0,0
104,3.328,63.0818,68.8674,71.641,71.1381,68.8674,3.6302,3.5834,3.579,0.002704,0.4633,4.0,4.0,0
105,3.36,56.296,70.2063,69.2218,61.7448,70.2063,3.5609,3.5381,3.5693,0.002575,0.4633,4.0,4.0,0
106,3.392,67.1089,67.0222,70.6565,75.2464,67.1089,3.7253,3.5826,3.6402,0.002575,0.4633,4.0,4.0,0
107,3.424,63.5684,69.1366,67.9389,67.8892,69.1366,3.616,3.615,3.6275,0.002704,0.4633,4.0,4.0,0
108,3.456,71.5153,65.9038,68.1183,64.4271,71.5153,3.4958,3.6056,3.5651,0.002575,0.4633,4.0,4.0,0
109,3.488,66.0786,60.9046,62.4248,64.3103,66.0786,3.7834,3.6363,3.6648,0.002575,0.4633,4.0,4.0,0
110,3.52,67.0361,69.5409,63.2238,67.8785,69.5409,3.595,3.6431,3.631,0.002704,0.4633,4.0,4.0,0
111,3.552,70.0819,72.4526,63.6538,69.8847,72.4526,3.4505,3.5881,3.546,0.002575,0.4633,4.0,4.0,0
112,3.584,62.8849,70.5813,67.113,71.313,70.5813,3.542,3.5733,3.5428,0.002575,0.4633,4.0,4.0,0
113,3.616,80.2313,68.7359,70.7593,63.9548,80.2313,3.116,3.4974,3.3436,0.002704,0.4633,4.0,4.0,0
114,3.648,65.5729,66.2639,66.3238,67.7113,66.2639,3.7728,3.4953,3.5411,0.002575,0.4633,4.0,4.0,0
115,3.68,69.602,60.2911,65.2426,66.9249,69.602,3.5919,3.4946,3.5632,0.002575,0.4633,4.0,4.0,0
116,3.712,66.6306,66.7973,66.3178,65.7324,66.7973,3.7427,3.5531,3.6449,0.002704,0.4633,4.0,4.0,0
117,3.744,69.0295,75.428,70.948,62.2938,75.428,3.3144,3.5075,3.4904,0.002575,0.4633,4.0,4.0,0
118,3.776,71.9612,71.5929,72.4187,70.5643,71.9612,3.4741,3.5792,3.4815,0.002575,0.4633,4.0,4.0,0
119,3.808,65.5286,60.269,64.9408,68.2047,65.5286,3.8151,3.5876,3.6346,0.002704,0.4633,4.0,4.0,0
120,3.84,71.3369,64.6448,65.9877,66.0157,71.3369,3.5045,3.5702,3.5729,0.002575,0.4633,4.0,4.0,0
121,3.872,64.9998,61.8858,66.8301,66.7378,64.9998,3.8462,3.5909,3.6981,0.002704,0.4633,4.0,4.0,0
122,3.904,74.6173,68.3584,67.7732,66.4244,74.6173,3.3504,3.5981,3.5356,0.002575,0.4633,4.0,4.0,0
123,3.936,72.9837,70.766,61.3508,66.7528,72.9837,3.4254,3.5883,3.4832,0.002575,0.4633,4.0,4.0,0
124,3.968,72.2358,70.876,72.2705,73.2132,72.2358,3.4609,3.5175,3.4714,0.002704,0.4633,4.0,4.0,0
125,4.0,64.8672,60.781,61.8337,73.2275,64.8672,3.854,3.5874,3.6473,0.002575,0.4633,4.0,4.0,0
126,4.032,69.71,65.0779,62.3661,65.1177,69.71,3.5863,3.5354,3.6176,0.002575,0.4633,4.0,4.0,0
127,4.064,66.4891,67.3796,65.3961,67.3592,67.3796,3.7103,3.6074,3.6591,0.002704,0.4633,4.0,4.0,0
128,4.096,60.8545,66.9488,65.3934,60.7691,66.9488,3.7342,3.6691,3.6925,0.002575,0.4633,4.0,4.0,0
129,4.128,72.2538,66.7032,69.0279,70.1453,72.2538,3.46,3.669,3.5834,0.002575,0.4633,4.0,4.0,0
130,4.16,69.9642,68.8911,68.2157,69.3673,69.9642,3.5733,3.6128,3.5773,0.002704,0.4633,4.0,4.0,0
131,4.192,61.6745,67.8376,71.7716,66.0795,67.8376,3.6853,3.6326,3.6259,0.002575,0.4633,4.0,4.0,0
132,4.224,68.1804,69.8116,69.1976,70.9323,69.8116,3.5811,3.6068,3.6038,0.002575,0.4633,4.0,4.0,0
133,4.256,66.6967,70.5077,68.9706,71.641,70.5077,3.5457,3.5691,3.5754,0.002704,0.4633,4.0,4.0,0
134,4.288,75.6312,68.1806,63.6019,66.528,75.6312,3.3055,3.5382,3.449,0.002575,0.4633,4.0,4.0,0
135,4.32,69.4429,66.086,65.9622,69.9479,69.4429,3.6001,3.5435,3.5176,0.002575,0.4633,4.0,4.0,0
136,4.352,66.7995,64.8291,64.2439,68.0739,66.7995,3.7425,3.555,3.6204,0.002704,0.4633,4.0,4.0,0
137,4.384,68.4968,66.7239,70.4398,71.9586,68.4968,3.6498,3.5687,3.6326,0.002575,0.4633,4.0,4.0,0
138,4.416,70.0269,65.1347,67.9558,70.6314,70.0269,3.5701,3.5736,3.6022,0.002704,0.4633,4.0,4.0,0
139,4.448,69.6011,63.3458,67.9942,62.4239,69.6011,3.5919,3.6309,3.596,0.002575,0.4633,4.0,4.0,0
140,4.48,74.7177,61.2957,65.7888,63.5835,74.7177,3.3459,3.58,3.4788,0.002575,0.4633,4.0,4.0,0
141,4.512,66.0894,60.3629,68.2778,65.434,66.0894,3.7828,3.5881,3.6182,0.002704,0.4633,4.0,4.0,0
142,4.544,69.1041,68.7331,70.6775,66.469,69.1041,3.6177,3.5817,3.6166,0.002575,0.4633,4.0,4.0,0
143,4.576,67.4761,68.3607,66.3077,72.6211,68.3607,3.6571,3.5991,3.634,0.002575,0.4633,4.0,4.0,0
144,4.608,71.53,65.692,70.656,58.092,71.53,3.495,3.5797,3.5681,0.002704,0.4633,4.0,4.0,0
145,4.64,67.1064,68.7265,73.3469,71.4971,68.7265,3.6376,3.638,3.5989,0.002575,0.4633,4.0,4.0,0
146,4.672,62.5812,62.8456,68.4743,61.8366,62.8456,3.978,3.6771,3.7732,0.002575,0.4633,4.0,4.0,0
147,4.704,64.541,68.5613,58.56,65.8595,68.5613,3.6464,3.6828,3.713,0.002704,0.4633,4.0,4.0,0
148,4.736,71.3119,73.1146,67.1553,64.5949,73.1146,3.4193,3.6353,3.5755,0.002575,0.4633,4.0,4.0,0
149,4.768,67.3506,65.2613,65.9103,63.2267,67.3506,3.7119,3.6786,3.6373,0.002575,0.4633,4.0,4.0,0
150,4.8,68.4388,71.2467,68.1383,72.6387,71.2467,3.5089,3.6529,3.5764,0.002704,0.4633,4.0,4.0,0
151,4.832,68.1995,64.8101,70.9779,64.4932,68.1995,3.6657,3.5904,3.6164,0.002575,0.4633,4.0,4.0,0
152,4.864,64.7107,68.0939,69.9057,61.2159,68.0939,3.6714,3.5955,3.6404,0.002704,0.4633,4.0,4.0,0
153,4.896,66.6939,69.0392,64.4381,63.0523,69.0392,3.6211,3.6358,3.6301,0.002575,0.4633,4.0,4.0,0
154,4.928,65.3088,68.3268,67.5155,66.7802,68.3268,3.6589,3.6252,3.6421,0.002575,0.4633,4.0,4.0,0
155,4.96,67.1572,67.7717,64.1914,69.209,67.7717,3.6889,3.6612,3.6623,0.002704,0.4633,4.0,4.0,0
156,4.992,66.1632,65.762,64.1285,67.6231,66.1632,3.7785,3.6838,3.7148,0.002575,0.4633,4.0,4.0,0
157,5.024,64.7425,65.4825,67.1289,64.4248,65.4825,3.8178,3.713,3.7611,0.002575,0.4633,4.0,4.0,0
158,5.056,70.7908,66.0865,70.9211,66.4166,70.7908,3.5315,3.6951,3.6533,0.002704,0.4633,4.0,4.0,0
159,5.088,69.1495,70.5987,71.6933,66.8888,70.5987,3.5411,3.6716,3.6,0.002575,0.4633,4.0,4.0,0
160,5.12,65.6014,67.1023,72.1525,62.5309,67.1023,3.7257,3.6789,3.6568,0.002575,0.4633,4.0,4.0,0
161,5.152,64.873,64.2302,60.9448,67.5291,64.873,3.8537,3.694,3.7466,0.002704,0.4633,4.0,4.0,0
162,5.184,71.1184,64.0167,63.3018,68.9515,71.1184,3.5153,3.6335,3.638,0.002575,0.4633,4.0,4.0,0
163,5.216,65.6735,59.8327,65.2156,68.6599,65.6735,3.8067,3.6885,3.7148,0.002575,0.4633,4.0,4.0,0
164,5.248,69.1372,66.4726,67.2507,66.0736,69.1372,3.616,3.7035,3.6676,0.002704,0.4633,4.0,4.0,0
165,5.28,66.5031,65.7755,67.6257,71.7445,66.5031,3.7592,3.7102,3.7087,0.002575,0.4633,4.0,4.0,0
166,5.312,71.9259,68.8133,70.0958,68.6825,71.9259,3.4758,3.6346,3.5994,0.002575,0.4633,4.0,4.0,0
167,5.344,70.5276,69.2907,67.8264,61.1061,70.5276,3.5447,3.6405,3.5726,0.002704,0.4633,4.0,4.0,0
168,5.376,70.3037,61.7879,74.5253,66.1153,70.3037,3.556,3.5903,3.5635,0.002575,0.4633,4.0,4.0,0
169,5.408,60.2139,67.9352,63.8749,63.8953,67.9352,3.68,3.6031,3.616,0.002704,0.4633,4.0,4.0,0
170,5.44,69.7483,67.6291,67.2725,66.3763,69.7483,3.5843,3.5682,3.6,0.002575,0.4633,4.0,4.0,0
171,5.472,68.4799,62.8788,63.7624,64.45,68.4799,3.6507,3.6031,3.6221,0.002575,0.4633,4.0,4.0,0
172,5.504,70.983,72.4325,69.209,63.2864,72.4325,3.4515,3.5845,3.5416,0.002704,0.4633,4.0,4.0,0
173,5.536,64.8073,63.3104,62.7403,66.3822,64.8073,3.8576,3.6448,3.6866,0.002575,0.4633,4.0,4.0,0
174,5.568,66.8299,66.053,70.18,66.3693,66.8299,3.7408,3.657,3.7104,0.002575,0.4633,4.0,4.0,0
175,5.6,70.689,70.4922,66.675,68.6727,70.689,3.5366,3.6474,3.6284,0.002704,0.4633,4.0,4.0,0
176,5.632,69.8488,68.3329,67.2289,70.0976,69.8488,3.5792,3.6331,3.6042,0.002575,0.4633,4.0,4.0,0
177,5.664,66.8537,65.5807,65.8326,67.2293,66.8537,3.7395,3.6907,3.6655,0.002575,0.4633,4.0,4.0,0
178,5.696,68.9395,67.5542,62.4223,69.9599,68.9395,3.6264,3.6445,3.6459,0.002704,0.4633,4.0,4.0,0
179,5.728,67.9389,61.35,72.743,64.6596,67.9389,3.6798,3.6323,3.6602,0.002575,0.4633,4.0,4.0,0
180,5.76,70.2536,66.8885,72.0519,59.6021,70.2536,3.5585,3.6367,3.6117,0.002575,0.4633,4.0,4.0,0
181,5.792,66.4845,68.0065,68.5109,71.4457,68.0065,3.6761,3.6561,3.6401,0.002704,0.4633,4.0,4.0,0
182,5.824,75.5891,61.0545,67.2144,66.1029,75.5891,3.3074,3.5696,3.4846,0.002575,0.4633,4.0,4.0,0
183,5.856,69.9601,69.5958,65.3228,62.039,69.9601,3.5735,3.5591,3.5243,0.002704,0.4633,4.0,4.0,0
184,5.888,68.4556,69.9181,64.8697,67.4689,69.9181,3.5756,3.5382,3.5467,0.002575,0.4633,4.0,4.0,0
185,5.92,67.9631,64.7918,74.4126,78.1497,67.9631,3.6785,3.5622,3.6064,0.002575,0.4633,4.0,4.0,0
186,5.952,68.1349,67.9496,70.8374,61.6053,68.1349,3.6692,3.5608,3.634,0.002704,0.4633,4.0,4.0,0
187,5.984,63.9469,63.6084,65.7801,69.4361,63.9469,3.9095,3.6812,3.7603,0.002575,0.4633,4.0,4.0,0
188,6.016,64.9855,71.8935,68.1183,58.2486,71.8935,3.4774,3.662,3.6278,0.002575,0.4633,4.0,4.0,0
189,6.048,73.3307,68.3276,62.0023,65.2245,73.3307,3.4092,3.6287,3.5251,0.002704,0.4633,4.0,4.0,0
190,6.08,66.8687,65.6578,60.774,70.2028,66.8687,3.7387,3.6408,3.6227,0.002575,0.4633,4.0,4.0,0
191,6.112,67.7382,69.0419,66.0022,70.2324,69.0419,3.621,3.6311,3.6205,0.002575,0.4633,4.0,4.0,0
192,6.144,68.1346,63.1111,74.4187,63.1046,68.1346,3.6692,3.5831,3.6416,0.002704,0.4633,4.0,4.0,0
193,6.176,66.8633,67.2459,64.5477,62.5551,67.2459,3.7177,3.6312,3.6755,0.002575,0.4633,4.0,4.0,0
194,6.208,65.3136,70.3029,74.1468,71.5671,70.3029,3.556,3.6605,3.6188,0.002575,0.4633,4.0,4.0,0
195,6.24,63.0679,68.6177,62.2947,68.1357,68.6177,3.6434,3.6415,3.6287,0.002704,0.4633,4.0,4.0,0
196,6.272,65.4354,64.6261,64.5868,64.9797,65.4354,3.8206,3.6814,3.7162,0.002575,0.4633,4.0,4.0,0
197,6.304,67.1471,70.9369,68.4781,67.5234,70.9369,3.5243,3.6524,3.6259,0.002575,0.4633,4.0,4.0,0
198,6.336,69.4594,64.1948,70.5624,69.5481,69.4594,3.5992,3.6287,3.6121,0.002704,0.4633,4.0,4.0,0
199,6.368,67.0228,66.7778,64.4281,71.8959,67.0228,3.7301,3.6635,3.6654,0.002575,0.4633,4.0,4.0,0
200,6.4,67.788,67.9465,69.3708,72.6557,67.9465,3.6794,3.6707,3.6704,0.002704,0.4633,4.0,4.0,0
201,6.432,58.7497,68.2822,63.8232,71.5978,68.2822,3.6613,3.6388,3.6648,0.002575,0.4633,4.0,4.0,0
